date,open,high,low,close,volume,outstanding_share,turnover
2010-01-08,8.33,8.55,8.13,8.21,11973476.0,18400000.0,0.6507323913043478
2010-01-11,7.94,7.96,7.41,7.59,4966269.0,18400000.0,0.26990592391304347
2010-01-12,7.58,7.73,7.46,7.64,3261761.0,18400000.0,0.1772696195652174
2010-01-13,7.47,7.59,7.41,7.5,2357656.0,18400000.0,0.12813347826086957
2010-01-14,7.61,7.87,7.6,7.73,3404516.0,18400000.0,0.18502804347826088
2010-01-15,7.73,7.74,7.59,7.6,2001159.0,18400000.0,0.10875864130434783
2010-01-18,7.58,7.6,7.49,7.56,1606286.0,18400000.0,0.08729815217391304
2010-01-19,7.59,7.6,7.44,7.51,1441753.0,18400000.0,0.07835614130434783
2010-01-20,7.47,7.49,6.96,7.01,2528534.0,18400000.0,0.13742032608695653
2010-01-21,7.03,7.14,6.99,7.08,960460.0,18400000.0,0.05219891304347826
2010-01-22,7.0,7.03,6.59,6.7,1773349.0,18400000.0,0.09637766304347826
2010-01-25,6.63,6.68,6.47,6.51,1203407.0,18400000.0,0.06540255434782609
2010-01-26,6.61,6.64,6.35,6.41,983672.0,18400000.0,0.053460434782608694
2010-01-27,6.43,6.57,6.36,6.42,917408.0,18400000.0,0.04985913043478261
2010-01-28,6.45,6.47,6.36,6.45,898091.0,18400000.0,0.04880929347826087
2010-01-29,6.39,6.59,6.39,6.54,1072733.0,18400000.0,0.05830070652173913
2010-02-01,6.41,6.41,6.14,6.15,1234331.0,18400000.0,0.06708320652173913
2010-02-02,6.17,6.25,5.99,6.02,881480.0,18400000.0,0.04790652173913044
2010-02-03,6.02,6.07,5.7,5.95,1035173.0,18400000.0,0.056259402173913044
2010-02-04,5.93,6.06,5.82,5.97,722801.0,18400000.0,0.03928266304347826
2010-02-05,5.9,6.04,5.82,5.97,647437.0,18400000.0,0.03518679347826087
2010-02-08,5.97,6.11,5.96,6.02,661238.0,18400000.0,0.03593684782608696
2010-02-09,6.02,6.03,5.95,6.0,392732.0,18400000.0,0.02134413043478261
2010-02-10,6.01,6.2,6.01,6.16,1081526.0,18400000.0,0.05877858695652174
2010-02-11,6.16,6.27,6.08,6.14,835073.0,18400000.0,0.04538440217391304
2010-02-12,6.14,6.21,6.11,6.2,686807.0,18400000.0,0.037326467391304345
2010-02-22,6.18,6.21,6.08,6.09,515400.0,18400000.0,0.02801086956521739
2010-02-23,6.08,6.09,5.93,6.06,591902.0,18400000.0,0.032168586956521736
2010-02-24,6.16,6.66,6.16,6.66,3046711.0,18400000.0,0.1655821195652174
2010-02-25,6.73,6.77,6.59,6.74,2755174.0,18400000.0,0.14973771739130434
2010-02-26,6.67,6.76,6.66,6.67,1350280.0,18400000.0,0.07338478260869566
2010-03-01,6.63,6.79,6.62,6.69,1163541.0,18400000.0,0.06323592391304347
2010-03-02,6.7,6.89,6.69,6.74,1347654.0,18400000.0,0.07324206521739131
2010-03-03,6.74,6.79,6.63,6.66,1263489.0,18400000.0,0.06866788043478261
2010-03-04,6.64,6.73,6.34,6.36,1261095.0,18400000.0,0.06853777173913043
2010-03-05,6.37,6.46,6.35,6.43,692223.0,18400000.0,0.0376208152173913
2010-03-08,6.43,6.59,6.43,6.52,628187.0,18400000.0,0.03414059782608696
2010-03-09,6.52,6.72,6.46,6.67,1081430.0,18400000.0,0.05877336956521739
2010-03-10,6.72,6.74,6.55,6.59,736030.0,18400000.0,0.04000163043478261
2010-03-11,6.57,6.7,6.39,6.65,987817.0,18400000.0,0.05368570652173913
2010-03-12,6.67,6.91,6.61,6.74,2485979.0,18400000.0,0.1351075543478261
2010-03-15,6.75,6.86,6.61,6.83,1505625.0,18400000.0,0.08182744565217391
2010-03-16,6.82,6.85,6.59,6.71,934298.0,18400000.0,0.0507770652173913
2010-03-17,6.7,6.89,6.7,6.86,1166848.0,18400000.0,0.06341565217391304
2010-03-18,6.87,7.02,6.87,6.95,1606021.0,18400000.0,0.08728375
2010-03-19,6.95,7.0,6.87,6.91,1048261.0,18400000.0,0.05697070652173913
2010-03-22,6.89,6.95,6.82,6.91,980286.0,18400000.0,0.053276413043478264
2010-03-23,6.93,6.98,6.72,6.86,1271191.0,18400000.0,0.06908646739130435
2010-03-24,6.84,7.14,6.84,7.01,2471704.0,18400000.0,0.13433173913043478
2010-03-25,7.04,7.29,6.98,7.24,2617360.0,18400000.0,0.14224782608695652
2010-03-26,6.84,6.93,6.69,6.85,3035256.0,18400000.0,0.1649595652173913
2010-03-29,6.85,6.87,6.64,6.76,2059693.0,18400000.0,0.11193983695652174
2010-03-30,6.73,6.92,6.7,6.89,1662818.0,18400000.0,0.09037054347826087
2010-03-31,6.87,7.16,6.84,7.06,2328005.0,18400000.0,0.12652201086956522
2010-04-01,7.07,7.4,7.06,7.14,3341904.0,18400000.0,0.18162521739130436
2010-04-02,7.1,7.18,7.01,7.17,1402418.0,18400000.0,0.0762183695652174
2010-04-06,7.17,7.32,7.11,7.3,1844690.0,18400000.0,0.10025489130434782
2010-04-07,7.28,7.4,7.19,7.34,2322046.0,18400000.0,0.12619815217391303
2010-04-08,7.27,7.45,7.19,7.21,4784937.0,23000000.0,0.20804073913043478
2010-04-09,7.15,7.34,7.14,7.31,2342240.0,23000000.0,0.10183652173913044
2010-04-12,7.32,7.41,7.21,7.39,2799841.0,23000000.0,0.12173221739130435
2010-04-13,7.41,7.42,6.66,6.8,3038279.0,23000000.0,0.13209908695652173
2010-04-14,6.75,6.89,6.69,6.72,1393614.0,23000000.0,0.06059191304347826
2010-04-15,6.8,6.8,6.35,6.44,2172284.0,23000000.0,0.0944471304347826
2010-04-19,6.52,6.6,6.32,6.38,1387494.0,23000000.0,0.060325826086956524
2010-04-20,6.39,6.47,6.14,6.35,1170098.0,23000000.0,0.05087382608695652
2010-04-21,6.33,6.57,6.27,6.55,1302446.0,23000000.0,0.05662808695652174
2010-04-22,6.52,6.73,6.47,6.61,1567955.0,23000000.0,0.06817195652173913
2010-04-23,6.61,6.68,6.44,6.48,1151556.0,23000000.0,0.05006765217391304
2010-04-26,6.32,6.32,5.99,5.99,2242124.0,23000000.0,0.09748365217391304
2010-04-27,5.97,5.99,5.71,5.84,1395804.0,23000000.0,0.06068713043478261
2010-04-28,5.8,6.04,5.75,5.96,1371723.0,23000000.0,0.059640130434782605
2010-04-29,5.96,6.02,5.82,5.83,739810.0,23000000.0,0.03216565217391305
2010-04-30,5.77,5.82,5.52,5.66,1018505.0,23000000.0,0.04428282608695652
2010-05-04,5.6,5.69,5.52,5.65,447482.0,23000000.0,0.019455739130434784
2010-05-05,5.6,5.86,5.56,5.84,1094185.0,23000000.0,0.04757326086956522
2010-05-06,5.88,5.92,5.75,5.87,1629562.0,23000000.0,0.07085052173913044
2010-05-07,5.76,6.24,5.72,6.12,3289660.0,23000000.0,0.1430286956521739
2010-05-10,6.17,6.49,6.17,6.38,3090636.0,23000000.0,0.13437547826086957
2010-05-11,6.41,6.54,6.3,6.41,2169458.0,23000000.0,0.09432426086956522
2010-05-12,6.39,6.46,6.16,6.27,1268171.0,23000000.0,0.05513786956521739
2010-05-13,6.28,6.39,6.11,6.23,1269284.0,23000000.0,0.05518626086956522
2010-05-14,6.16,6.29,6.12,6.26,1684369.0,23000000.0,0.0732334347826087
2010-05-17,6.26,6.27,5.64,5.64,1056077.0,23000000.0,0.045916391304347826
2010-05-18,5.54,5.81,5.36,5.67,1279034.0,23000000.0,0.05561017391304348
2010-05-19,5.59,5.79,5.4,5.69,784845.0,23000000.0,0.034123695652173915
2010-05-20,5.65,5.79,5.57,5.59,861057.0,23000000.0,0.03743726086956522
2010-05-21,5.42,5.75,5.35,5.7,686136.0,23000000.0,0.029832
2010-05-24,5.75,5.99,5.7,5.92,1080064.0,23000000.0,0.04695930434782609
2010-05-25,5.92,5.92,5.68,5.76,769469.0,23000000.0,0.03345517391304348
2010-05-26,5.7,5.86,5.7,5.76,437888.0,23000000.0,0.019038608695652173
2010-05-27,5.77,5.92,5.7,5.86,1049196.0,23000000.0,0.045617217391304345
2010-05-28,5.93,5.99,5.83,5.94,927129.0,23000000.0,0.04030995652173913
2010-05-31,5.93,5.98,5.73,5.74,811631.0,23000000.0,0.03528830434782609
2010-06-01,5.61,5.73,5.45,5.47,664787.0,23000000.0,0.028903782608695652
2010-06-02,5.47,5.6,5.43,5.6,412646.0,23000000.0,0.01794113043478261
2010-06-03,5.67,5.76,5.63,5.67,676864.0,23000000.0,0.02942886956521739
2010-06-04,5.59,5.86,5.59,5.85,901913.0,23000000.0,0.03921360869565217
2010-06-07,5.67,6.01,5.63,6.0,1919655.0,23000000.0,0.08346326086956522
2010-06-08,5.99,6.12,5.92,6.02,1832309.0,23000000.0,0.07966560869565217
2010-06-09,6.02,6.14,5.92,5.98,1489816.0,23000000.0,0.06477460869565217
2010-06-10,5.93,6.08,5.91,6.06,1246742.0,23000000.0,0.05420617391304348
2010-06-11,6.06,6.09,5.93,6.0,1221370.0,23000000.0,0.05310304347826087
2010-06-17,6.02,6.13,5.77,5.77,1259453.0,23000000.0,0.05475882608695652
2010-06-18,5.71,5.81,5.45,5.54,1103432.0,23000000.0,0.047975304347826084
2010-06-21,5.54,5.77,5.49,5.75,801488.0,23000000.0,0.03484730434782609
2010-06-22,5.77,5.88,5.73,5.83,981148.0,23000000.0,0.042658608695652175
2010-06-23,5.73,6.07,5.73,6.03,2541283.0,23000000.0,0.1104905652173913
2010-06-24,6.03,6.1,5.92,6.0,1008573.0,23000000.0,0.043851
2010-06-25,5.94,6.0,5.7,5.79,951582.0,23000000.0,0.04137313043478261
2010-06-28,5.73,5.77,5.61,5.64,1100253.0,23000000.0,0.04783708695652174
2010-06-29,5.62,5.65,5.08,5.13,1139119.0,23000000.0,0.04952691304347826
2010-06-30,5.06,5.15,4.97,5.12,616201.0,23000000.0,0.026791347826086956
2010-07-01,5.11,5.17,4.99,5.01,512872.0,23000000.0,0.022298782608695653
2010-07-02,4.99,5.06,4.8,4.99,493982.0,23000000.0,0.021477478260869567
2010-07-05,4.95,5.01,4.87,4.99,239859.0,23000000.0,0.010428652173913044
2010-07-06,5.01,5.12,4.97,5.08,532567.0,23000000.0,0.02315508695652174
2010-07-07,5.08,5.12,5.0,5.09,355966.0,23000000.0,0.015476782608695653
2010-07-08,5.11,5.13,4.99,5.05,415854.0,23000000.0,0.018080608695652173
2010-07-09,5.1,5.19,5.04,5.16,726667.0,23000000.0,0.03159421739130435
2010-07-12,5.17,5.2,5.11,5.16,595570.0,23000000.0,0.025894347826086957
2010-07-13,5.15,5.3,5.09,5.26,1178659.0,23000000.0,0.051246043478260866
2010-07-14,5.27,5.3,5.13,5.2,745872.0,23000000.0,0.032429217391304346
2010-07-15,5.15,5.21,5.03,5.03,342601.0,23000000.0,0.014895695652173913
2010-07-16,5.03,5.03,4.83,4.97,332549.0,23000000.0,0.014458652173913044
2010-07-19,4.92,5.07,4.88,5.07,283138.0,23000000.0,0.012310347826086957
2010-07-20,5.06,5.21,5.04,5.2,584679.0,23000000.0,0.025420826086956522
2010-07-21,5.16,5.29,5.16,5.21,583162.0,23000000.0,0.025354869565217392
2010-07-22,5.16,5.47,5.16,5.45,1732791.0,23000000.0,0.07533873913043478
2010-07-23,5.43,5.45,5.31,5.4,696897.0,23000000.0,0.03029986956521739
2010-07-26,5.43,5.47,5.35,5.44,529575.0,23000000.0,0.023025
2010-07-27,5.44,5.45,5.34,5.34,407655.0,23000000.0,0.01772413043478261
2010-07-28,5.36,5.4,5.31,5.4,633375.0,23000000.0,0.02753804347826087
2010-07-29,5.39,5.49,5.38,5.43,603786.0,23000000.0,0.026251565217391304
2010-07-30,5.43,5.43,5.34,5.42,391911.0,23000000.0,0.017039608695652173
2010-08-02,5.42,5.52,5.36,5.49,580616.0,23000000.0,0.02524417391304348
2010-08-03,5.52,5.52,5.39,5.39,494711.0,23000000.0,0.021509173913043477
2010-08-04,5.35,5.38,5.14,5.3,1339786.0,23000000.0,0.058251565217391305
2010-08-05,5.28,5.37,5.27,5.3,770842.0,23000000.0,0.03351486956521739
2010-08-06,5.31,5.42,5.27,5.42,791531.0,23000000.0,0.03441439130434783
2010-08-09,5.43,5.55,5.43,5.54,1318268.0,23000000.0,0.057316
2010-08-10,5.51,5.58,5.32,5.32,1208075.0,23000000.0,0.052525
2010-08-11,5.32,5.44,5.31,5.42,729325.0,23000000.0,0.031709782608695655
2010-08-12,5.32,5.44,5.27,5.3,859958.0,23000000.0,0.037389478260869566
2010-08-13,5.29,5.37,5.25,5.35,739140.0,23000000.0,0.03213652173913043
2010-08-16,5.36,5.46,5.32,5.45,1352506.0,23000000.0,0.058804608695652176
2010-08-17,5.46,5.53,5.42,5.5,1319283.0,23000000.0,0.05736013043478261
2010-08-18,5.5,5.5,5.41,5.48,879647.0,23000000.0,0.038245521739130435
2010-08-19,5.44,5.51,5.42,5.49,1125214.0,23000000.0,0.048922347826086954
2010-08-20,5.47,5.58,5.4,5.42,1275715.0,23000000.0,0.055465869565217395
2010-08-23,5.4,5.45,5.27,5.29,1001000.0,23000000.0,0.043521739130434785
2010-08-24,5.29,5.34,5.22,5.31,802746.0,23000000.0,0.034902
2010-08-25,5.27,5.28,5.13,5.14,714669.0,23000000.0,0.031072565217391303
2010-08-26,5.15,5.21,5.11,5.15,489344.0,23000000.0,0.021275826086956523
2010-08-27,5.15,5.21,5.11,5.19,316796.0,23000000.0,0.013773739130434783
2010-08-30,5.21,5.31,5.2,5.31,902941.0,23000000.0,0.03925830434782609
2010-08-31,5.28,5.31,5.19,5.28,637545.0,23000000.0,0.027719347826086958
2010-09-01,5.27,5.33,5.15,5.18,726613.0,23000000.0,0.03159186956521739
2010-09-02,5.22,5.25,5.18,5.23,623980.0,23000000.0,0.027129565217391304
2010-09-03,5.26,5.46,5.23,5.42,1630341.0,23000000.0,0.07088439130434783
2010-09-06,5.43,5.46,5.33,5.35,1402040.0,23000000.0,0.06095826086956522
2010-09-07,5.35,5.56,5.35,5.52,1868378.0,23000000.0,0.08123382608695652
2010-09-08,5.46,5.49,5.39,5.46,1053599.0,23000000.0,0.04580865217391304
2010-09-09,5.46,5.53,5.32,5.36,1252600.0,23000000.0,0.05446086956521739
2010-09-10,5.36,5.39,5.27,5.37,806410.0,23000000.0,0.03506130434782609
2010-09-13,5.37,5.49,5.37,5.46,860431.0,23000000.0,0.03741004347826087
2010-09-14,5.46,5.49,5.4,5.42,776636.0,23000000.0,0.03376678260869565
2010-09-15,5.42,5.45,5.2,5.22,893797.0,23000000.0,0.03886073913043478
2010-09-16,5.21,5.23,4.92,5.15,644144.0,23000000.0,0.028006260869565217
2010-09-17,5.18,5.18,5.02,5.03,515971.0,23000000.0,0.022433521739130435
2010-09-20,5.04,5.1,4.93,4.96,288877.0,23000000.0,0.012559869565217392
2010-09-21,4.98,5.02,4.95,4.96,180244.0,23000000.0,0.007836695652173913
2010-09-27,5.03,5.03,4.94,5.0,493532.0,23000000.0,0.02145791304347826
2010-09-28,5.0,5.01,4.97,4.98,304712.0,23000000.0,0.013248347826086956
2010-09-29,5.02,5.05,4.95,4.97,427430.0,23000000.0,0.01858391304347826
2010-09-30,4.97,5.02,4.94,4.97,527899.0,23000000.0,0.02295213043478261
2010-10-08,5.0,5.13,4.99,5.08,581787.0,23000000.0,0.025295086956521738
2010-10-11,5.08,5.1,5.01,5.07,892368.0,23000000.0,0.03879860869565217
2010-10-12,5.07,5.12,5.06,5.1,604386.0,23000000.0,0.026277652173913042
2010-10-13,5.12,5.12,5.01,5.1,711913.0,23000000.0,0.03095273913043478
2010-10-14,5.09,5.11,4.99,4.99,778719.0,23000000.0,0.03385734782608696
2010-10-15,4.98,5.01,4.93,4.93,707003.0,23000000.0,0.030739260869565216
2010-10-18,4.94,4.94,4.78,4.9,709389.0,23000000.0,0.030843
2010-10-19,4.87,5.27,4.87,5.19,1743828.0,23000000.0,0.07581860869565217
2010-10-20,5.12,5.29,5.11,5.14,1305771.0,23000000.0,0.056772652173913044
2010-10-21,5.09,5.14,5.04,5.1,676602.0,23000000.0,0.029417478260869566
2010-10-22,5.1,5.26,5.07,5.18,767041.0,23000000.0,0.03334960869565217
2010-10-25,5.18,5.28,5.17,5.28,1165135.0,23000000.0,0.05065804347826087
2010-10-26,5.27,5.29,5.17,5.21,752390.0,23000000.0,0.03271260869565217
2010-10-27,5.22,5.28,5.19,5.2,862996.0,23000000.0,0.037521565217391306
2010-10-28,5.19,5.19,5.02,5.08,1214599.0,23000000.0,0.05280865217391304
2010-10-29,5.08,5.16,5.08,5.13,756102.0,23000000.0,0.032874
2010-11-01,5.14,5.29,5.11,5.28,1883389.0,23000000.0,0.08188647826086956
2010-11-02,5.31,5.32,5.19,5.2,1020188.0,23000000.0,0.044356
2010-11-03,5.14,5.22,5.11,5.11,678506.0,23000000.0,0.02950026086956522
2010-11-04,5.11,5.17,5.06,5.11,945686.0,23000000.0,0.041116782608695654
2010-11-05,5.12,5.17,5.1,5.16,725727.0,23000000.0,0.03155334782608696
2010-11-08,5.17,5.3,5.17,5.3,1377466.0,23000000.0,0.05988982608695652
2010-11-09,5.29,5.32,5.23,5.31,1068676.0,23000000.0,0.04646417391304348
